opponent,attendance,year
Kalmar,861,2023
Djurgården,1201,2023
BP,873,2023
AIK,710,2023
BK Häcken,897,2023
Sirius,869,2023
Halmstads BK,2002,2023
Elfsborg,2259,2023
Norrköping,956,2023
Degerfors IF,1500,2023
Malmö FF,1809,2023
Mjällby,600,2023
Hammarby,1496,2023
Värnamo,952,2023
Varberg,993,2023
